iter	RMSE
0	1.156410156
50	1.131226408
100	1.107444817
150	1.084977718
200	1.063847051
250	1.043900827
300	1.025038196
350	1.007392866
400	0.9905683476
450	0.9747923962
500	0.9599407102
550	0.9459111633
600	0.9325807496
650	0.9200963083
700	0.908278849
750	0.8970734621
800	0.8865394149
850	0.876476396
900	0.8669765133
950	0.8579975058
1000	0.8493614509
1050	0.841254191
1100	0.8334583016
1150	0.826064176
1200	0.8189133585
1250	0.8122500094
1300	0.8058726009
1350	0.7996899899
1400	0.7938293597
1450	0.7881431802
1500	0.7828261841
1550	0.7776228071
1600	0.7727310489
1650	0.7680207034
1700	0.7634836049
1750	0.7589775878
1800	0.7546886711
1850	0.7505044477
1900	0.7464594353
1950	0.7424252584
2000	0.7383513653
2050	0.7345401114
2100	0.7306864997
2150	0.7268509401
2200	0.7230192161
2250	0.7194947521
2300	0.715828745
2350	0.7122500362
2400	0.7089247701
2450	0.7056212704
2500	0.7023017036
2550	0.6990327524
2600	0.6959904309
2650	0.6931231875
2700	0.6903796946
2750	0.6875462655
2800	0.6847803911
2850	0.6822074204
2900	0.6797433157
2950	0.6772031147
3000	0.6746022519
3050	0.6723266721
3100	0.6698558809
3150	0.6675959612
3200	0.6656287361
3250	0.6635159037
3300	0.6614451233
3350	0.6595967458
3400	0.657636626
3450	0.6557863232
3500	0.653958583
3550	0.65213665
3600	0.6503242995
3650	0.6486663866
3700	0.6469831322
3750	0.6452503836
3800	0.6436885379
3850	0.6420511883
3900	0.6405138746
3950	0.639132792
4000	0.6376307246
4050	0.6362569355
4100	0.6348231411
4150	0.6335613631
4200	0.6322408946
4250	0.6308814437
4300	0.629714844
4350	0.6284500548
4400	0.6271876802
4450	0.6260406493
4500	0.6249214779
4550	0.6237897806
4600	0.6227202045
4650	0.621614874
4700	0.620488857
4750	0.6193928147
4800	0.6184164951
4850	0.6173575931
4900	0.6161845274
4950	0.6152198277
4999	0.6142412056
